arsenic,cadmium,lead,mercury
0.012695517691178427,0.0029280156995583014,0.00035771859189760046,0.0043555046427337304
0.057,0.043,0.876,0.0006955368188774045
0.004380346413200771,0.001934367986778366,0.00028495337750100534,0.003310143429889376
0.010483893711188816,0.003736954438899991,0.0027052863244315735,0.009443949657512732
0.052,0.024,0.366,0.009968263185250334
0.055,0.027,0.134,0.0045922220290327415
0.076,0.021,0.135,0.009246430134075589
0.064,0.067,0.187,0.003556907840853289
0.093,0.256,0.069,0.0032494755762955277
0.131,0.373,0.063,0.00849349153865998
0.122,0.275,0.042,0.008971243348761817
0.082,0.091,0.132,0.0001958104229922821
0.06,0.069,0.042,0.004957403434132672
0.092,0.141,0.084,0.004342229777352914
0.064,0.089,0.032,0.0030711484191042076
0.116,0.178,0.058,0.004499928507745015
0.011091140677346937,0.0008853118256607778,0.0016629679324335666,0.0028022447808508863
0.0024886698979966673,0.096,0.002282721776254524,0.0023330826810230693
0.0003020491263003784,0.0016475116721719387,0.0009410015147570858,0.0070016886982856375
0.065,0.03,0.071,0.005469100003490829
0.078,0.041,0.129,0.007607629442136673
0.058,0.028,0.16,0.005818469426513173
0.12,0.024,0.107,0.015
0.003808427202568577,0.003167483089689661,0.0011177837634415372,0.0034965286845367403
0.059,0.0017405179867107435,0.087,0.003214697108017438
0.09,0.00035872655882476724,0.003598085997192331,0.0004536647019488854
0.068,0.0028375975438165307,0.0011150342137409904,0.009032826257550646
0.109,0.0019863566357793006,0.069,0.001499679118588478
0.127,0.199,0.035,0.0033907617180495126
0.122,0.102,0.029,0.0014343887860270269
0.156,0.047,0.094,0.0038249049780482475
0.042,0.039,0.036,0.009591335411971746
0.006946788111984404,0.0038789731334221947,0.0003353929898070249,0.003962862009283098
0.010857033629533068,0.002256408633973756,0.0022326357895197297,0.006191357655100421
0.068,0.000560031379899201,0.003229123483806821,0.0034560853323546566
0.044,0.049,0.048,0.005849617760310465
0.095,0.03,0.133,9.615324260593993e-05
0.033,0.043,0.028,0.008974220286486837
0.059,0.051,0.098,0.0032992508792929454
0.015273053112325201,0.008,0.0020874761836000818,0.005540229583475647
0.019,0.012,0.0019641680257967975,0.009595570108763038
0.026,0.016,0.022,0.0017319094473979377
0.016,0.006,0.014,0.002261034640547621
0.006964189870081707,0.013,0.00032714948322730165,0.002481695714647658
0.018,0.053,0.02,0.009372563956052684
0.055,0.0017382073526275332,0.005,0.00963151732308854
0.033,0.021,0.028,0.004931765927652216
0.038,0.003861206766652887,0.00033794872555120795,0.006606484193665716
0.024,0.00141095844280348,0.0024344656212574203,0.002166555882212148
0.001638443331613198,0.0007132673010843807,0.087,0.009131365759576193
0.017,0.0029796769178167142,0.011,0.0008750529363972324
0.018,0.009,0.0038342212683613484,0.008624724039030047
0.047,0.00044270668399928507,0.01,0.005696171924104936
0.019,0.002505080168930074,0.002085401966982265,0.003713183219850504
0.0007456735500096094,0.0023576871095012998,0.019,0.003545274474658919
0.019,0.009,0.003619229108428487,0.004756390647697102
0.023,0.007,0.014,0.010750308757287826
